transcript_id,loss_event_id,language,captured_via,captured_at
cf799d84-0a1f-4271-a1fd-fda4f879cb82,53b6bf5f-9d63-452b-da9a-c4a8799f7598,en-US,Phone,2025-12-09T05:49:46Z
2c672b1f-4b93-49d3-e397-ce51993067e2,0f650d65-84ac-437d-1cbe-bb42b53bc9d9,en-US,Agent,2026-03-02T16:48:03Z
f18ed0e6-035e-47be-0170-37693614edec,bb74a30d-1c99-4462-59ee-a9efb2802e5f,en-US,Phone,2025-09-06T20:31:01Z
dc78199b-fe21-43ab-d832-872abcbc2b5a,35e792ef-1aa3-4be9-7a68-817749913613,en-US,Phone,2025-08-07T22:08:22Z
d36ce082-4a2c-4660-1ba4-e285748e27ec,0a695a52-4954-4993-8208-cec0363e1973,en-US,Phone,2026-03-17T02:41:38Z
ca96b60c-fcc0-41c4-1e54-3b95f32e4bab,caf912d5-001d-432f-5e22-00defeabf9a0,en-US,Phone,2025-12-22T05:32:47Z
1cf257be-0799-4625-0705-34df558823cb,81e1e61e-696b-4a61-4383-063a2347d953,en-US,Agent,2025-07-05T09:24:47Z
bd8f279e-895d-464f-8350-c97ff376b7d2,f70efde1-982f-4c9e-5036-7a9459ab51f4,en-US,Phone,2026-06-17T00:00:51Z
6c2e5fdb-21df-4f20-90c6-b75ce2d2f214,f2bf152e-f8b7-46dd-83d8-f26b99c79b3e,en-US,Phone,2026-01-17T18:29:55Z
61872b29-5bed-40f6-d529-f4d03960039c,3262db17-0614-4f89-4420-a536a8ddc4e1,en-US,Agent,2026-03-01T17:15:36Z
61e2e14f-8b8e-4f98-2919-d0ceb4e83827,02fec096-f1ef-469a-7e98-f5f1721b009d,en-US,Phone,2026-04-04T13:53:50Z
e86c62f9-5187-4f57-be3d-04e09de25037,1b0cf83d-6211-49d6-78df-82973e0b1aad,en-US,Phone,2026-08-08T16:20:49Z
8efd2021-2ac0-4c51-86a6-beb8236a960d,d393aa14-0e8d-48dc-8484-8860b4dd9b7f,en-US,Phone,2026-02-11T04:24:42Z
e81ea10f-aa24-43d7-c4d5-d1ff71c32c76,f9ebd4cc-33c6-4ef9-7ad6-509ed6bba17b,en-US,Agent,2026-07-24T01:57:41Z
94d60b90-bad9-4b2c-2afe-b268082bba9a,e0105a12-46b5-40f6-ba2f-cf2bd3a60d8f,en-US,Agent,2026-01-26T09:06:29Z
ac7829af-8c56-43d9-d248-781d4a70cc17,d8ce52e9-fba8-4bc4-e0e7-ae3565a35fea,en-US,Phone,2025-06-28T04:24:04Z
71dfed79-32e1-4675-0bf7-49dffa00231e,7a30620d-f561-4a39-6d73-3c6fffc32da8,en-US,Agent,2026-03-02T21:23:52Z
3bc042bd-9f68-4251-9b40-52ac038c98e5,e6df7e48-0739-4c7d-777f-c684f508abc8,en-US,Phone,2025-12-27T02:35:37Z
67b651ea-08a5-4e28-7a79-0df711dfe160,9283a5a0-b735-4995-2734-b132c92b05ee,en-US,Phone,2025-10-30T11:08:45Z
014b30f2-993d-424b-a04e-af07aaa0c6d8,e4cd7cb5-efb7-4a30-a590-a81aaf869d6d,en-US,Phone,2025-11-20T06:39:40Z
75f06aac-2ef8-4985-2776-5b4e8ebbc1a9,e05bdb4f-b438-4d9e-afc9-33d2963c78d7,en-US,Agent,2026-05-06T18:23:59Z
2c437b0f-b8b0-49ec-e3d6-5dfbdbd1d021,08fa6382-4378-4e0b-a2ab-203717e88722,en-US,Agent,2025-12-14T17:08:43Z
f0811967-1584-4c24-1957-19ab2c2c6bc1,4522b298-75eb-4192-691a-a037771c3971,en-US,Phone,2026-07-05T00:52:52Z
3f1b87e6-7a16-4d26-bfcc-b9aa9eac620c,c374fe06-797b-451d-cd21-d06bd92eca42,en-US,Phone,2026-02-13T10:44:31Z
3f2dcf0b-c70d-4875-50d4-68f356ecc0e1,590f100e-4c12-446b-62cc-6a1900b6cff2,en-US,Phone,2026-07-17T15:59:57Z
04dbe260-c64c-40bb-fed8-e55fe56f24cc,4afb7053-c95a-4d66-d7bc-61e34e107659,en-US,Agent,2026-03-01T14:10:37Z
04ab5ccb-d020-4ba3-8a00-9a761810dd77,62a053f6-7e59-4071-8019-6c2b29f26be5,en-US,Phone,2025-11-08T02:53:24Z
ac07fad1-d4ee-4e48-19b8-6f1d8224e6d5,ab037918-0549-4ada-f8e3-dc907df748af,en-US,Agent,2026-07-02T07:01:57Z
b0c4c888-0b81-4a9f-c6b8-d43121931266,8182af28-5ed9-4794-8add-0c65f3d9898c,en-US,Agent,2026-03-31T07:18:46Z
e632a5e0-5e5f-42a6-416c-ccebbd798987,eb2e5564-6919-475f-b366-c7d63220ec0d,en-US,Agent,2026-03-06T06:25:18Z
70b26621-ea79-4b92-c0f2-a438291750b3,d8b0f7f2-ae79-4322-2aed-fe160833fc92,en-US,Agent,2026-02-15T04:12:57Z
4419f5f3-1699-46f3-e22c-7735952e36b6,63ab0f9d-e932-47aa-b032-61604cb1a31d,en-US,Phone,2026-06-21T20:31:39Z
c52fbf40-cd4d-4361-7744-826b0e3b56b7,04313334-d636-4acf-fcf7-69296ca36ae0,en-US,Phone,2025-09-13T06:59:53Z
6a12f008-7eb2-4ff0-b53a-3ba96ba9e38d,ce999db9-97f3-41e2-65ce-24731981a79d,en-US,Phone,2025-08-29T19:44:04Z
ef404ab6-eb51-4969-ce4e-e2d6bb9c6ea1,cc2bbe78-10b7-424f-c7e4-f6c6252152a0,en-US,Phone,2026-05-25T21:17:03Z
f123ce39-8977-4e74-d0d3-2e761b13bd52,bd89226a-6daa-4553-2cb3-32c933af0ee9,en-US,Agent,2026-09-21T02:51:00Z
e40fced6-56ef-454b-a5ae-e45b22238147,4913c9b2-87d5-44ce-b951-d47c10a981b0,en-US,Phone,2026-09-13T10:31:58Z
24f0e6d4-2813-4a21-11d8-b148cd07a53a,3a36ba3c-ec28-41b2-39dc-3dabd3dc062c,en-US,Agent,2025-07-25T00:46:26Z
c312fe14-1154-4928-34f8-622a618142f8,6ec003d8-f720-48a6-247e-b9f5f8ef5bba,en-US,Phone,2025-09-20T00:57:50Z
76429abb-fcba-45df-e307-f924cd4d81dc,bff5df20-2aca-4b64-d298-b2133419b3ae,en-US,Agent,2026-05-16T23:27:21Z
a95c70c1-95c1-45ff-b344-9bd006971e86,7ee990ef-3c48-43d9-2f31-6d548ca8e2c1,en-US,Phone,2026-01-01T13:01:08Z
647f08ff-2236-462c-d65f-20e0f75a1b22,4263ac72-bc92-4014-7791-a9e378d63b7c,en-US,Phone,2025-10-01T11:08:10Z
e253c4e5-c9e0-4cdb-b2a7-6bc14d3a6e4e,c398b36d-9a0f-4d66-d0f3-662699255064,en-US,Agent,2025-11-28T18:23:26Z
71bcf2be-f018-4531-c507-b414511d5ce6,781f2d21-2cab-401d-d45f-4ac1767bcb68,en-US,Agent,2026-05-02T14:21:26Z
