location_id,latitude,longitude,address_line,city,state,postal_code
65692246-d7a5-4934-c03e-776ccb0845cb,34.4718,-118.5561,3411 Wong Ave,San Diego,CA,92101
564f502d-9fe3-4e0e-7cbf-0dc3141e28c5,35.5206,-120.0541,5893 Rossi Ave,Oakland,CA,94607
05c7646b-196a-4887-71ed-12e50a25bfe9,37.4405,-117.1698,5406 Rossi Ave,Long Beach,CA,90802
5a8a46bd-0571-41a5-6e2d-962b6411118a,36.3367,-120.7358,6663 Nguyen Ave,San Diego,CA,92101
a6fd3c92-84a1-45cd-04f6-dc361410b74a,36.6471,-122.3191,3164 Martin Ave,San Diego,CA,92101
736c310e-266a-4be5-a2e1-e1b72e042479,36.4563,-118.2595,731 Garcia Ave,San Jose,CA,95113
69ce033c-fa45-42e6-80ef-ed5d643a5242,37.1933,-120.3099,4216 Garcia Ave,San Jose,CA,95113
f73121b7-689f-4b65-e183-e81886dfb641,35.313,-122.2071,6228 Garcia Ave,Sacramento,CA,95814
3b665491-337c-4075-7848-9e9d8c5d774d,34.5897,-121.6922,8841 Wong Ave,Anaheim,CA,92805
e4abd61e-6829-4b66-fa8a-9636dca537dc,38.0153,-122.2418,923 Patel Ave,Anaheim,CA,92805
3c2fc6b9-0cba-4f0c-0500-0e87792c321e,37.8761,-119.5057,858 Silva Ave,Los Angeles,CA,90012
15e6f611-50aa-4eb3-db20-97da8eaffc12,37.5782,-122.3587,5124 Lopez Ave,Oakland,CA,94607
2f6708cf-4423-44e5-ee72-a9f4107dc9dd,36.4655,-119.1539,4215 Smith Ave,Fresno,CA,93721
09fcfa07-6037-4c06-2bc5-68840e97c3af,34.273,-119.4651,9265 Cohen Ave,Anaheim,CA,92805
78c9f728-9dbd-4a01-c694-a71445004da7,35.5849,-120.0597,3911 Martin Ave,Los Angeles,CA,90012
a170a29c-1273-4359-cbea-46cc65e37700,33.5012,-121.2279,8067 Khan Ave,Sacramento,CA,95814
66f3f134-b6f5-4f76-49cf-dfdeee9de1b5,35.0064,-118.5799,8033 Nguyen Ave,Sacramento,CA,95814
be244b31-a41e-4cd3-5761-5d39721cbf27,36.414,-120.854,105 Brown Ave,Anaheim,CA,92805
cfaa33a7-1c33-4fce-1f57-c76c85096c08,33.4129,-119.0087,2322 Park Ave,Los Angeles,CA,90012
adbbd058-4904-4e0a-0f1a-b837edff7f28,35.5228,-118.406,7523 Hassan Ave,Sacramento,CA,95814
8295721e-3f0c-4fe9-3936-a2b214951251,36.7743,-118.3811,3660 Nguyen Ave,Long Beach,CA,90802
fb24ccf9-7510-4b38-4750-f59864e4ee80,35.5139,-119.4664,1084 Hassan Ave,Oakland,CA,94607
0ae1c3d1-9e79-43e9-b06e-a0e15e846b21,33.4459,-117.9506,4023 Davis Ave,Fresno,CA,93721
6ed40f25-f14d-48c9-2d1a-f531788faf86,36.2452,-120.7571,777 Smith Ave,San Diego,CA,92101
469462f9-9aa1-4d97-0e4f-63d312795324,38.6413,-121.284,2603 Kim Ave,Long Beach,CA,90802
91754532-d6bf-4794-19bb-fc160a0d04ab,36.4956,-118.8792,3619 Davis Ave,San Diego,CA,92101
1952d741-b28f-48ff-aac6-5af545ac7d20,34.9171,-118.955,1285 Patel Ave,Sacramento,CA,95814
40f8f556-a015-45c3-b675-2cc6e483c57b,35.1748,-119.1242,6945 Garcia Ave,Sacramento,CA,95814
dbc345d8-91de-41cc-6981-1021f0ca8af5,34.0096,-120.2547,7718 Reyes Ave,Anaheim,CA,92805
614797fa-dc45-4bdd-ba08-9eed70f21035,33.6541,-119.5525,4775 Smith Ave,Sacramento,CA,95814
bb825015-5ada-4b36-ac3d-1750db31fde7,34.123,-119.7201,2654 Garcia Ave,Long Beach,CA,90802
58f10d5c-33dd-411a-b84c-efeb4e06bdb0,36.2473,-120.8981,3589 Nguyen Ave,San Diego,CA,92101
9ffd217b-011f-47a1-1935-70eccdc3bc66,35.9427,-118.1561,8184 Garcia Ave,Sacramento,CA,95814
75624208-88ee-4774-f5d2-d7009d00a434,33.6352,-120.9775,9600 Brown Ave,Sacramento,CA,95814
d3e89c91-34f5-4c00-d5b1-c2b3bbf0bb0f,36.8137,-118.0572,9872 Garcia Ave,Long Beach,CA,90802
000fa13b-1a11-4a0c-4af6-9f83f087a141,34.4058,-121.9528,2348 Chen Ave,Anaheim,CA,92805
