consent_id,evidence_id,consent_type,decision,capture_channel,capture_actor,captured_at
7653acca-336a-45d9-f979-fea4bdb72fff,53f61ea0-78d3-4e04-9761-98c0bf7ce63f,dashcam_access,granted,mobile_pwa,policyholder,2026-06-21T04:55:10Z
939ac3ab-246f-4591-d6a2-f67a034ad65b,60e26647-2206-4f2a-a98a-48ff51c7e64c,dashcam_access,denied,mobile_pwa,policyholder,2025-12-09T05:49:46Z
740260aa-8599-4990-fd79-2cd2c5df5b0b,f0d8cdb1-9288-4ffc-52e5-0c634579fbe5,dashcam_access,granted,mobile_pwa,policyholder,2026-03-02T16:48:03Z
00cd52fe-99c0-4c46-46c4-a3d02ce83abe,efbb681f-73c8-45e5-8509-ba29052af1a8,dashcam_access,granted,mobile_pwa,policyholder,2026-07-18T06:27:00Z
3d61139c-62a7-47e1-c7ed-2ffa76ec5b26,1c23b2ab-6a15-4299-95de-af645ee457ce,blackbox_diagnostics,granted,mobile_pwa,policyholder,2026-03-17T02:41:38Z
2ae8b6b3-0b37-40ba-4531-f08a19b42017,b1208b5e-77f2-4034-4460-7dc18482d70b,blackbox_diagnostics,denied,mobile_pwa,policyholder,2026-04-15T07:06:58Z
1baef53f-7b24-4d1f-1038-532aab23c3f5,d8ca1987-412b-4088-e9e2-18912cc232b5,blackbox_diagnostics,granted,mobile_pwa,policyholder,2026-08-15T21:18:51Z
c5e10d8f-6a35-4dc1-7022-359563bcd4ab,e53f2dce-d728-4008-47ca-bc22d1ae76ae,blackbox_diagnostics,granted,mobile_pwa,policyholder,2026-07-24T01:57:41Z
6b0d2198-fbc5-4a71-e50d-edc7a95d7fca,ad618aec-fd5e-4a96-73d0-1533baf704ee,dashcam_access,denied,mobile_pwa,policyholder,2026-01-26T09:06:29Z
a25ee5bc-7ee4-4235-10fb-e16b2e9b875a,005f4fe4-7e42-4049-7315-9974b9a6bae0,blackbox_diagnostics,granted,mobile_pwa,policyholder,2026-03-02T21:23:52Z
0c8889dd-bf88-47e9-a791-4db88362cecc,c908917e-e50f-4c42-3b2b-5ce79de153c1,blackbox_diagnostics,granted,mobile_pwa,policyholder,2025-12-23T11:49:00Z
46248544-7b13-42ad-2cdc-d03836b06230,b4e856b8-a0bf-4a91-edda-3e56923252af,blackbox_diagnostics,denied,mobile_pwa,policyholder,2026-01-04T13:19:59Z
eb32b614-8f96-4a8c-13d2-684527338a53,a8715449-4bea-42c0-c5da-ed534f057141,blackbox_diagnostics,granted,mobile_pwa,policyholder,2026-06-22T14:32:56Z
191f8126-335d-4361-a18c-da494b166a41,a79e5242-a7f1-4a91-ad9e-ca78725d32ee,blackbox_diagnostics,granted,mobile_pwa,policyholder,2025-10-26T20:05:22Z
b17703d3-693d-4ebc-5260-79560d6add93,f534bb36-5cab-442c-1be2-419dcb68bad4,blackbox_diagnostics,granted,mobile_pwa,policyholder,2026-04-06T11:09:30Z
0234e889-c6e5-45f0-b3f9-68fec55c8e5d,0e10d88e-8239-4550-5f2e-1fe923ea71cb,blackbox_diagnostics,granted,mobile_pwa,policyholder,2026-07-05T00:52:52Z
8985e082-b14a-40bd-6abf-ce698c5440a8,5da65648-cd85-418d-8092-c1feffc23ede,blackbox_diagnostics,denied,mobile_pwa,policyholder,2026-07-17T15:59:57Z
15ae5066-64d9-4d52-a5d7-c7ce7a63ac3c,97e8a2d0-2463-42e4-08ad-f5dbadefd7a6,dashcam_access,denied,mobile_pwa,policyholder,2026-03-01T14:10:37Z
06a258c1-3bc2-4b88-29d5-a8033d7d13f0,91b31c59-7c21-4746-4d37-0a1beb1dbd04,dashcam_access,granted,mobile_pwa,policyholder,2026-03-31T07:18:46Z
b4d06981-9fe7-4203-9dec-d4fe6f631c92,93c5fd77-b806-400a-01fc-24ae858f719e,dashcam_access,denied,mobile_pwa,policyholder,2026-07-06T10:12:00Z
df8946f3-3ed5-4d6f-d749-03354f860cd8,25eb9979-27aa-4a19-5428-69ec955bbe0b,blackbox_diagnostics,granted,mobile_pwa,policyholder,2026-03-06T06:25:18Z
9a890fa0-20a2-4b1b-2ae4-7cc26c72a181,fc36095b-db4e-4f01-2ccc-ca3510af82ef,blackbox_diagnostics,denied,mobile_pwa,policyholder,2026-06-21T20:31:39Z
5220e17a-24c9-4acb-f2ac-b62d3f7c679e,a411a398-e135-4e54-8fd2-e075aac7ef59,dashcam_access,denied,mobile_pwa,policyholder,2026-02-12T15:35:53Z
51f0761c-5f26-4c06-ce61-5e168e22f9b5,2944c2d4-4d31-47f4-a1f6-dafc457b55f6,blackbox_diagnostics,granted,mobile_pwa,policyholder,2025-08-29T19:44:04Z
6bc863cc-c2d7-4c9f-9b88-7ca9ab405a4d,be288791-97c5-4a0a-6bc9-1b993c4106fd,blackbox_diagnostics,denied,mobile_pwa,policyholder,2025-09-20T00:57:50Z
2467fcf8-9fbd-4f0a-1bbb-638869379629,5606060e-e33b-48fd-afca-2d2a667bdf35,dashcam_access,granted,mobile_pwa,policyholder,2025-10-01T11:08:10Z
