claimant_id,person_id,claimant_type,demand_amount
c9487d46-362e-45f5-1d17-7a52e309aa07,80d9f6ba-a939-4a3d-d641-f488a877a0f8,FirstParty,
f9836f56-1278-413e-6cef-c0556074d53b,89291870-b954-4c26-af17-4f62d3ac4233,FirstParty,
a1ab6c99-5ff2-4159-cecc-1a87609681e1,7c472bea-46b5-4939-1075-72a6078112ad,FirstParty,
0bdf0400-0e48-47e0-a884-4be7f9d25cb5,d9705dc9-bff4-4eb1-3f46-a1bb76f73a4f,FirstParty,
9f22d230-eb4d-4be4-2072-b30c4b2dd91a,bc3861c4-3621-4683-adae-2012ebf9b45e,FirstParty,
7284a29b-56ef-413e-36da-964fb2a3855a,7922f2cb-244e-4a44-37da-d28fab0bbb7f,FirstParty,
642fbf2b-3e7f-42e7-ed1b-c3a7447a061a,41d18437-323d-40d9-52e0-de0dc9bcfccd,FirstParty,11687.54
c8ea92f0-181a-4a5b-ec7d-adc72348dbc1,f7c78a62-5748-47b9-7724-937a5dfeb400,FirstParty,
edb4839a-1c2e-4072-a633-188091f3c56a,85468efe-416f-448b-7f95-a66d4cfb61ed,FirstParty,3963.38
76d18a69-9855-4d8c-8f09-8dc5d0cf2ee2,3a4de816-47e7-47eb-a685-95fc5e4a8557,FirstParty,
ce3a15c5-4086-46a0-0880-b49f47f52edd,b9aeb31d-3aef-434f-1962-2568a6513c4d,FirstParty,
85060c8b-ea4e-4e65-2b87-2a133085f99a,41eadef5-2f1a-4690-25d8-b2e03663866b,FirstParty,
106ec180-04ca-4eb5-2984-eb420c8c3d23,7c472bea-46b5-4939-1075-72a6078112ad,FirstParty,
60ecc530-9f02-49e6-1a94-d580aa90bad6,c4eaaf57-1985-4f7f-2cb7-2dc1db7fc5a7,FirstParty,
ba92c566-fa6e-412b-c23d-44cc44f43952,b9aeb31d-3aef-434f-1962-2568a6513c4d,FirstParty,
bdd8c8d4-bf56-49e1-8a22-78d96840572d,eb7dbdd0-d7f7-4851-6b67-63b0be19b6e5,FirstParty,4833.26
de0588bf-79a6-4b7b-d2cd-42485eff3fe1,35fdf7e0-faba-48c5-7ad0-5bb85cefa8d4,FirstParty,6225.55
95320e64-1e94-496a-845c-1dbe61a09f98,30ab375a-d452-47bd-cac7-7a2ca740301a,ThirdParty,
7cb89e0c-0fab-43c7-fd1f-7984c5321f24,5cc89487-212b-48e1-2278-a316c56a4bb7,FirstParty,
56153ad0-90f1-4a1b-56f4-a12fd6cf1730,7c472bea-46b5-4939-1075-72a6078112ad,FirstParty,
060a7882-cdf5-41f6-04e1-573c3d8cd134,b743d060-9523-4e55-ddfa-7f0e3c57a23f,FirstParty,
b2e12dd7-bac6-4618-bea2-bf5479130dc9,2572b215-db27-4e20-e5be-dc28bd41e3a5,FirstParty,
2d3c8c7a-12ea-4b05-9a67-611353a0516f,a939012c-1e25-43dc-9982-30b2333e5696,FirstParty,
f3abb410-72c4-47dd-035d-2c19d729c468,2f178f95-93ca-4408-7a65-0b14934b19ba,FirstParty,
5c4bd1fb-97ff-48e1-4b5c-c27ed6053c43,79d58a38-3ce7-48c8-47d2-fbf871c3f13b,FirstParty,
be0b70ee-ad49-4539-7ee1-c10ec0e1a030,c6501573-6774-4577-598b-66e28a3c2d51,FirstParty,
5eb17cc2-947a-4e7c-3fc3-41c6467d909d,7a9da7b9-bff1-4173-c56a-6b092e61c30e,FirstParty,
8fbb26cf-16f6-40fc-8988-96364e2cb58e,8887c111-fb9c-43bc-a3f7-af224cb1554b,FirstParty,2171.41
89ee7cd7-a437-41c6-f743-cfc9a7670a88,8da9933f-d0df-475b-3dad-566d3ff17345,FirstParty,10539.64
3011dad4-6172-4412-00a4-52a7b7f707b4,2fb319e6-68a7-4f61-4de3-f11a9ed6e49a,FirstParty,
75bbe01b-e34c-4f45-0f82-e05c77995785,56cd6ac4-7dff-4be2-1c05-e48962b0b864,FirstParty,3377.14
dee90ccf-4cdd-4861-64b6-44f92442d67a,025633d9-2661-41bf-dd11-6d62ba5ad689,FirstParty,
e449b640-bb71-49e4-47e7-7ef67044e9b5,aac062a1-febc-44aa-732e-009c58da3c3b,FirstParty,8709.7
135dc501-f29d-49e1-7b5d-c57f5d6ab42e,6d865807-7ef8-4187-710e-b003045de057,FirstParty,2082.72
a9b08f41-0fa8-4869-fb38-f0c1734615f4,ee56860d-1045-478d-8e09-2e0de99e7a0e,FirstParty,3187.44
ecee853f-8772-4316-a08d-caa2e63b91e7,520618b6-50e9-4b48-4f9e-ed627e74268c,FirstParty,11556.26
43e66916-c579-417a-c394-260c646ccef4,8a48fdca-d462-42f6-d1c7-a29c5ba2f192,FirstParty,
f773e51f-fe60-4115-af81-ec115f340c9e,39cb8dc6-7c74-47ce-79ec-8d72d239a42b,FirstParty,11265.53
0f7b4657-f8e7-44f5-2957-20854eb58e03,71bee48e-47a6-44f9-fa13-b75fff891c68,FirstParty,
139c425c-486a-42ec-b49c-831d01e2b9c6,88953a47-2487-4a87-d7e9-600aebf539cb,FirstParty,
784c1a85-d95d-409f-d4d4-49add343fd99,71bee48e-47a6-44f9-fa13-b75fff891c68,FirstParty,
e2ebb584-20d7-48f4-6c50-fb18b88e3498,1344edd3-e06c-4998-353e-83ef86142bff,FirstParty,
ddcbded2-569c-4b27-8956-9f4eb67a4cf2,fac2c16f-d8fd-4884-42d4-0df047369e42,FirstParty,4393.39
8a336c16-4f82-48b1-38d0-32e7c1a5dcea,7a9da7b9-bff1-4173-c56a-6b092e61c30e,FirstParty,
3e1d5d52-65df-40ef-c651-3152bfdb91ff,249982c3-668a-4325-76eb-a662658ae281,FirstParty,
