visual_evidence_id,evidence_id,damage_id,modality,confidence
5fa11b35-adf1-433d-b08b-9203b7222e9d,89dd0b2a-22e3-4699-2cc8-3649f883fca6,9e0adab0-d556-40dd-7a33-1b8118fc5f43,image,0.87
1cf56e22-c09a-48f7-2add-a7850d38beb0,f4818f4c-24f8-4d95-4ba2-75eb64bb8ce0,1bc06af1-cab5-4e61-49b8-a891b38e9a63,image,0.91
08fb4135-644a-4540-6ff8-e2c2022c9185,d6b52152-78f6-4b02-5e15-638827a1ed5f,95410b1e-3b02-420c-b9de-30017b5d8fac,image,0.92
4a780da6-3060-4591-20e9-bf14bd25c640,6f4b7f78-f3bc-4607-68b9-311ee4737362,44f7e8a1-6429-4895-2aac-820b33dce042,image,0.88
96c4289a-ac14-4943-7e0f-b4615aac313d,0f5c0d0c-89d4-4d35-2db6-29a7bdf6d82f,d4e4b757-23b2-4e72-05de-467a8beb0f16,image,0.87
f62907a5-ced7-4d62-e5b0-6d5de3965b31,e15a5e86-9318-4d90-66b3-56d7b0a7e4dc,bc7c3602-b4ab-4dbe-1ecb-83c216659e7e,image,0.88
61a5d237-7825-4121-c4a7-5a918c9069df,4e679726-4934-4f7b-60a1-c0afd3b8f2c0,c5a720e5-c735-4995-3989-f20e1281c0be,image,0.83
d0b33d12-3c69-4448-41ea-c86b025fc463,3bd5cf84-9b0e-453a-9c28-f097c1b22a3f,cab53dd0-0647-4678-db8d-ba98b7e5013f,image,0.89
2622e662-8de5-4ba4-38e4-4a9f9ae81e47,e98f971d-1f80-4bfa-7c40-a11c06c37d2f,590b5833-9e3a-4346-a44f-450fec733921,image,0.83
7f350fc1-c58e-4f2f-6a23-45a2b3d4cbc9,49c12124-b08b-4f87-1c46-a66b734abac7,e03b9852-3e22-4e6f-6dc8-5e05454b877f,image,0.97
f37d7934-cd4c-41b9-c0f4-c506a0ef34f1,af316b30-8435-4ba3-3008-53f8fffe9b0c,a02cf8a6-26ff-4900-8b91-bdaa3140c630,image,0.74
53dce6bc-c54e-4d29-59fd-ae6b7542566a,9c705f44-2861-4121-d83c-472e566aa93b,a8960aaf-075c-4c88-d7f0-d182cade240d,image,0.94
b97966c3-962e-438e-4f73-efe4a4c7dcf3,1a327579-948d-43a0-d637-a021c0e09a48,4652b0b4-eaa5-441c-9b63-eb57083fcc84,image,0.71
39f4ae5b-20b2-403d-3b77-c44c506d3441,45444ed9-4574-4997-04a5-0bd8274b9c59,7cbe6c4b-85b3-48a7-5d83-6bc94434cb9b,image,0.75
4f8d1d1b-3927-4c70-a5df-e531caf0110a,50f68217-7177-4385-9b58-28b0037daff6,7fa0b8e8-368c-4c0b-5196-aac25f79f21b,image,0.83
98df261a-387d-4626-cf11-15ad55119b6c,c42077ac-fff0-4327-4094-715536534bb9,1b606ca9-4a52-426e-8bd8-5fa3c0451089,image,0.76
f1b10667-4afd-45ea-f279-355ccd82f82e,ff5706dc-1fa1-4a46-8c59-d74effc8e1f5,06cb6861-f54a-465f-0559-272b3b25d1db,image,0.88
4a778a75-d97b-4977-e447-446fd46d6192,1bf10062-ed06-41fa-d208-0f6c392c609f,2c84e312-0738-4ec3-0dc7-aab7a06875b5,image,0.94
5c3d4821-9c43-4932-b04a-40f13c7eadf0,9fb5caa5-d130-4a02-511b-93958c025eb7,063d1ae5-75a1-4f2b-2a42-4e73b455bfee,image,0.83
a4699e98-cf61-41ec-5b0d-cabde3ba6dfe,b74584eb-ed9d-4f82-fc3b-cc2262c4279b,dfa84043-8ec0-4a10-4cce-89152259e679,image,0.93
edeea29f-6467-4f8c-5726-466b6ab52355,a653065b-9788-4d96-ffe6-32c0f410f48c,33845955-f99d-42d0-06c7-5828d6c9e61d,image,0.92
6a786ba1-a231-4496-5c1a-b1603050cc18,9e10151f-aaca-424d-628b-d3da29fb482a,dbc885e3-2cff-4a08-c24f-47d5b4d49898,image,0.91
c7889d7e-ff07-4dbc-f5fd-d7702a110ecb,e03b3cb2-f82a-4356-38c3-c4b941c5059e,d4dbb013-21fc-41f3-1999-b1d1d0ef58b3,image,0.81
63a1d16b-0189-44c6-56e9-c3551c69c656,77a8e34b-c5e9-4de9-6de5-ef7763045f89,9c48e62a-45e2-4778-2d4f-240d6d93c5e3,image,0.72
0a35613a-cdb3-47a9-8d29-65b5d08d3371,e5c569c0-a54a-45c0-830e-a7620cb9d7de,46743f18-7c9d-46ae-87ee-051170840b6e,image,0.73
d1cd5b05-3afa-475f-44a6-0f19059a3932,45460df8-e2fa-4e26-e939-920a04f04f64,401af4a3-b5e5-4f3a-e3d6-8c88ce508dd1,image,0.92
f67b390b-f5a6-466c-4133-983525676115,eafedeed-0863-484e-d3ce-4a7fcd066ab3,c35d3a74-492c-4527-1ee9-81159dbf402b,image,0.76
998e0b75-00c0-464d-bc23-43dcdbb504c9,90130ce2-a848-4820-2869-b9227df75136,2c691ee7-8715-4c9c-daef-6e6adc703fb8,image,0.87
b09ec3d4-bcda-43ee-efc0-b400b53e958a,e4081b21-2562-4e48-f47a-32862ba6e61e,1903bf8c-ea98-4d5f-1d46-d04e7e8bbd6a,image,0.87
d2155f41-a433-4bd6-651f-35e93cd0f702,7cfbfcec-9553-4572-f9be-b7a5f297fd8b,8260743f-ba40-4db3-ead8-3fa662e901eb,image,0.88
6b9fd9d2-571c-4166-3cae-99224352d8c4,a54030ff-b08a-44e0-6c5e-6e8fcb705ba1,53e06b19-781a-4294-20ef-69095f342a13,image,0.98
ced88765-3616-40ac-537e-cb187df71422,2c0b63e5-f15a-4cf6-1a88-36bbef101d71,a09114a3-022e-4be8-230b-82b18d2bd741,image,0.76
9bc1eca0-7041-4d5e-4b18-5d5099d02066,16816b7c-3fba-4616-3a61-34bd8b1716a0,9a36f901-6036-4a31-acd9-8d9216f7bf10,image,0.97
939b30a6-0b8b-4e44-8190-31b4d7fbf937,678c104e-1956-414c-1374-866cdc813aac,94a3acc6-7125-4dd2-1241-bf3043c14f89,image,0.83
0215c4b1-eb70-4727-4f06-430ea4e08b04,7fcb9597-2784-497e-6308-95b1d4779ebf,984ee863-202f-423f-dced-fff2d7bc9a35,image,0.89
93a700bf-5e07-4794-486e-2a5cf0fd4385,b3d6e994-9e84-464b-965d-64d81f667e38,54951b22-b8b2-42a8-34ef-8607a7bd5d27,image,0.95
057f6a18-f7e2-47c0-28e4-53914ca34e71,77b3899a-7bf7-4562-94ac-685f431796ae,0892ca88-3415-4f93-b5bc-7a58840c5b15,image,0.76
59e34fdc-33a3-45dd-1ed4-0afc4c85e34f,420c6bb4-925b-4006-80af-9b8b9b093af5,873f9374-ebb8-4eff-7c0c-4883e4c1cc92,image,0.81
b6f666b8-cceb-4c70-e42b-1437a13d41fa,dfd6d123-d6ad-4e80-d1a4-c35c3f725bd0,918a1298-e861-4fe1-6f70-45947d26e95b,image,0.89
19f21723-1b5f-44b9-0b77-66c0086e5450,d15d388d-00e1-4225-10ba-dde90db082ff,6af0c538-e318-47cf-be65-eeff551534de,image,0.94
36a9df4f-2e45-4517-ea44-3a58e20b2ba4,bce0b89d-1c23-4f60-5ab7-23c7225804c4,d0a4d3bc-c5d1-47fa-af1e-dbb5bd1f2a7a,image,0.73
def2142e-a51a-4675-6a07-18b5c7a84b97,fde5b9a1-f2c6-43f1-9661-0ee28277ac1e,8d80a224-0420-48cb-ed52-21c841ad38be,image,0.83
9c7768a3-8489-4323-4566-9b6b819f4dc9,d733f5ec-6f47-4cf3-1b79-ea06ff4169e4,4784d4fe-92b3-4e92-1377-087f8167a85c,image,0.87
5e62c5e4-d909-4e12-ad96-6eede8778d8e,354b1429-8579-4990-3eae-4d1791cd0c9a,476c5033-f244-496e-9b68-673155042edd,image,0.88
86f050ae-401f-4237-3d3c-e8f2184c2b57,63e0878b-d363-4f78-1512-d6436e812822,37392ab0-d04d-4df3-f372-1072c1fbbb95,image,0.96
49ed683e-3e52-4b57-2eca-709adb6afbfa,5537eed2-b067-4c6a-554e-6cd376a76247,ae2f09d1-fa04-4882-b99b-75249894d5d5,image,0.82
093e52f9-acdf-4535-8abf-63c08614c03b,e5b65495-641a-4ddb-9d49-ab655d1f1b6f,cfcdc066-bb3e-4216-f926-31e47106433e,image,0.94
b171af00-c2f9-4f2a-d785-3e8164a1d637,46526ed8-0925-4626-eb68-db8bdd42cc4a,d270f3ae-caad-4aa3-03b6-2f9269cd9bdd,image,0.9
3ab7e6b0-2106-42b3-ba7d-bf3c0f3e6e44,64bdf02c-f474-4322-f46c-c58b526e86fb,c20bf9ed-ef9f-4154-93bf-605f45ceb65e,image,0.99
a78e164d-57ff-491f-ac72-94b1ede423e1,4e55c7a8-c869-4b9a-901f-d26afd633a3d,66045b53-2496-44f8-f636-5251dab96944,image,0.81
73d0f608-9984-4d4a-a8d3-25e39862f1f3,e9f91f2c-3f62-41bb-03f3-c104fd38f635,b0629d85-d669-4917-523c-8e0c1a3f9aad,image,0.98
7bade40c-9115-46b1-7138-1f0a769e746c,1b87ac11-ed86-4ad8-505a-2f54016387ba,a6a0009d-d3c8-478e-292b-9302645ef6f8,image,0.85
95034c3d-4b17-4504-3636-b8b994015da2,dd4e56d3-5320-4e5c-d17d-5c6406779ed9,6e6aaebc-6afc-4cbd-9cbe-ad825de8d034,image,0.98
2a712273-65fc-4004-73dc-36f335aa7bdf,09c069e3-b62d-4cf8-0388-d371d54b7374,16e9ff77-d73b-4816-1000-d8afb62d5aea,image,0.93
191e7ca4-f116-44a5-6dba-106faa2253f8,867feac1-7bd8-46be-9c84-fb4abb2d1c76,14a09e46-4ce7-43f3-2597-12f5427a0f47,image,0.71
82e72ce4-3ec3-4bcc-30c4-c6dd6ca4bb41,932246c2-c93d-4274-c61c-f449152274ea,4fab6249-855a-43ae-a7ff-2487e572e5d7,image,0.85
d92a19f1-2079-449c-7083-aac192a510e5,28734df7-e0c8-43e0-70e5-8c2f74e3b4a3,af6ab77b-100e-4067-e616-64797c199f9e,image,0.91
5543fc9b-89a1-4588-7336-7ed60422f3e8,477f937f-3958-4fb7-4c41-bdf916a4b35e,ebee35a0-5f74-4fd7-a520-959a9bfffee8,image,0.75
